Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,Used,106646,Riyadh,22500,FALSE
Toyota,Prado,2018,Saudi,White,Full,,Gas,Automatic,Used,47000,Qassim,Negotiable,TRUE
Ford,Expedition,2017,Gulf Arabic,White,Full,,Gas,Automatic,Used,34000,Riyadh,108000,FALSE
Land Rover,Range Rover,2009,Saudi,Black,Full,,Gas,Automatic,Used,195000,Jeddah,45000,FALSE
Hyundai,Elantra,2018,Saudi,Brown,Semi Full,1.6,Gas,Automatic,Used,81000,Riyadh,44000,FALSE
Hyundai,Sonata,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,Used,99000,Riyadh,62000,FALSE
Dodge,Charger,2016,Saudi,Grey,Standard,1,Gas,Automatic,Used,151000,Riyadh,69000,FALSE
Kia,Cadenza,2018,Saudi,Brown,Standard,1,Gas,Automatic,Used,74000,Riyadh,60000,FALSE
Toyota,Furniture,2019,Saudi,White,Full,3.5,Gas,Automatic,Used,40000,Riyadh,120000,FALSE
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,Used,78000,Riyadh,36000,FALSE
Hyundai,Sonata,2013,Saudi,White,Full,2.4,Gas,Automatic,Used,205000,Riyadh,40000,FALSE
Toyota,FJ,2013,Saudi,Bronze,Full,1,Gas,Automatic,Used,296000,Riyadh,79000,FALSE
Kia,Cadenza,2017,Saudi,Grey,Full,3.5,Gas,Automatic,Used,179000,Riyadh,73000,FALSE
Hyundai,Elantra,2018,Saudi,White,Semi Full,2,Gas,Automatic,Used,88000,Riyadh,44000,FALSE
Hyundai,Elantra,2018,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,96000,Riyadh,47000,FALSE
Genesis,G80,2019,Saudi,Silver,Semi Full,3.8,Gas,Automatic,Used,66000,Riyadh,120000,FALSE
Hyundai,Sonata,2014,Saudi,White,Semi Full,2.4,Gas,Automatic,Used,216000,Riyadh,41000,FALSE
Toyota,Camry,2016,Saudi,White,Full,1,Gas,Automatic,Used,244000,Riyadh,59000,FALSE
Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,Used,55000,Riyadh,95000,FALSE
Toyota,FJ,2015,Saudi,White,Full,1,Gas,Automatic,Used,190000,Riyadh,98000,FALSE
Hyundai,Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,Used,41542,Riyadh,69000,FALSE
Kia,Optima,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,Used,245000,Riyadh,45000,FALSE
Genesis,Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,Used,78000,Riyadh,110000,FALSE
Kia,Cadenza,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,Used,180000,Riyadh,57000,FALSE
